,total_loads,total_stores,load_hits,load_misses,store_hits,store_misses,total_cycles,cache_size,associativity,block_size,alloc_type,write_type,evictor_type
read01.trace_128_8_16_write-allocate_write-back_lru,5,0,2,3,0,0,1208,128,8,16,write-allocate,write-back,lru
read01.trace_128_8_16_write-allocate_write-back_fifo,5,0,2,3,0,0,1208,128,8,16,write-allocate,write-back,fifo
read01.trace_128_8_16_write-allocate_write-through_lru,5,0,2,3,0,0,1208,128,8,16,write-allocate,write-through,lru
read01.trace_128_8_16_write-allocate_write-through_fifo,5,0,2,3,0,0,1208,128,8,16,write-allocate,write-through,fifo
read01.trace_128_8_16_no-write-allocate_write-back_lru,5,0,2,3,0,0,1208,128,8,16,no-write-allocate,write-back,lru
read01.trace_128_8_16_no-write-allocate_write-back_fifo,5,0,2,3,0,0,1208,128,8,16,no-write-allocate,write-back,fifo
read01.trace_128_8_16_no-write-allocate_write-through_lru,5,0,2,3,0,0,1208,128,8,16,no-write-allocate,write-through,lru
read01.trace_128_8_16_no-write-allocate_write-through_fifo,5,0,2,3,0,0,1208,128,8,16,no-write-allocate,write-through,fifo
read02.trace_256_4_16_write-allocate_write-back_lru,10,0,9,1,0,0,411,256,4,16,write-allocate,write-back,lru
read02.trace_256_4_16_write-allocate_write-back_fifo,10,0,9,1,0,0,411,256,4,16,write-allocate,write-back,fifo
read02.trace_256_4_16_write-allocate_write-through_lru,10,0,9,1,0,0,411,256,4,16,write-allocate,write-through,lru
read02.trace_256_4_16_write-allocate_write-through_fifo,10,0,9,1,0,0,411,256,4,16,write-allocate,write-through,fifo
read02.trace_256_4_16_no-write-allocate_write-back_lru,10,0,9,1,0,0,411,256,4,16,no-write-allocate,write-back,lru
read02.trace_256_4_16_no-write-allocate_write-back_fifo,10,0,9,1,0,0,411,256,4,16,no-write-allocate,write-back,fifo
read02.trace_256_4_16_no-write-allocate_write-through_lru,10,0,9,1,0,0,411,256,4,16,no-write-allocate,write-through,lru
read02.trace_256_4_16_no-write-allocate_write-through_fifo,10,0,9,1,0,0,411,256,4,16,no-write-allocate,write-through,fifo
read02.trace_1024_1_16_write-allocate_write-back_lru,10,0,9,1,0,0,411,1024,1,16,write-allocate,write-back,lru
read02.trace_1024_1_16_write-allocate_write-back_fifo,10,0,9,1,0,0,411,1024,1,16,write-allocate,write-back,fifo
